2022-06-27 14:25:05,392 INFO {'RESET': 'Clear'}
2022-06-27 14:26:18,710 INFO {'RESET': 'Clear'}
2022-06-27 14:26:48,972 INFO {'RESET': 'Clear'}
2022-06-27 14:28:04,682 INFO {'Time': 15, 'Energymeter': [171, 1, 46], 'COD': [101, 9729, 10], 'BOD': [101, 9729, 10], 'Temperature': [101, 9729, 10], 'TSS': [101, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4]}
2022-06-27 14:29:43,323 INFO {'Time': 15, 'Energymeter': [171, 1, 46], 'COD': [101, 9729, 10], 'BOD': [101, 9729, 10], 'Temperature': [101, 9729, 10], 'TSS': [101, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4]}
2022-06-27 14:30:45,423 INFO {'Time': 15, 'Energymeter': [171, 1, 46], 'COD': [101, 9729, 10], 'BOD': [101, 9729, 10], 'Temperature': [101, 9729, 10], 'TSS': [101, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4]}
2022-06-27 14:31:25,584 INFO {'RESET': 'Clear'}
2022-06-27 14:34:58,912 INFO {'Time': 15, 'Energymeter': [171, 1, 46], 'COD': [101, 9729, 10], 'BOD': [101, 9729, 10], 'Temperature': [101, 9729, 10], 'TSS': [101, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:37:50,389 INFO {'RESET': 'Clear'}
2022-06-27 14:38:40,018 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:40:21,149 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:41:30,672 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:50:58,512 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:51:52,845 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:52:33,229 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:54:41,224 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:56:19,337 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:57:14,040 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 14:57:52,795 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:04:10,720 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:07:53,727 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:10:26,162 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:13:02,349 INFO {'RESET': 'Clear'}
2022-06-27 15:14:12,272 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729], 'TSS': [100, 4608, 4], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:17:02,670 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:21:35,176 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:27:34,606 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:34:40,149 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:41:40,487 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
2022-06-27 15:44:29,823 INFO {'RESET': 'Clear'}
2022-06-27 15:46:41,132 INFO {'Time': 15, 'Energymeter': [170, 1, 46], 'COD': [100, 9729, 10], 'BOD': [100, 9729, 10], 'Temperature': [100, 9729, 10], 'TSS': [100, 4608], 'Ph': [110, 9729, 5], 'TDS': [120, 9729, 4], 'Conductivity': [120, 9729, 4]}
